attr_id,title,content_type_id,addr1,healing,aesthetic,gourmet,learning,heritage,mood_nature,romantic,family,active,nightlife
58553,조선대학교 장미원,12,광주광역시 동구 조선대길 146 (서석동),0.8,0.9,0.0,0.2,0.2,0.6,0.9,0.5,0.0,0.0
57595,덕적도 갈대 군락지,12,인천광역시 옹진군 덕적면 덕적북로 130,0.8,0.8,0.0,0.0,0.0,1.0,0.8,0.3,0.5,0.6
59663,무주채폭포,12,경기도 가평군 북면 제령리,0.8,0.7,0.0,0.0,0.2,1.0,0.5,0.4,0.4,0.0
57424,향기억,12,서울특별시 강남구 신사동 657-19,0.7,0.8,0.0,0.9,0.0,0.0,0.9,0.2,0.0,0.0
58544,의상봉 (무등산권 국가지질공원),12,광주광역시 북구 무등로 1550,0.8,0.6,0.0,0.7,0.6,1.0,0.2,0.4,0.8,0.0
57525,검은낭,12,인천광역시 옹진군 대청면 대청리,0.8,0.6,0.0,0.5,0.0,0.9,0.3,0.2,0.2,0.0
60529,지축 차량사업소,12,경기도 고양시 덕양구 삼송로 300,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.5,0.1,0.0
56676,고당조만식선생동상,12,서울특별시 광진구 능동로 216,0.1,0.1,0.0,0.8,0.9,0.1,0.0,0.3,0.0,0.0
58539,월계동 장고분,12,광주광역시 광산구 월계로 155,0.2,0.1,0.0,0.8,1.0,0.3,0.0,0.3,0.0,0.0
57529,경인아라뱃길 매화동산,12,인천광역시 서구 시천동,0.8,0.9,0.0,0.5,0.7,0.7,0.8,0.5,0.1,0.0
59900,석천암(남양주),12,경기도 남양주시 불암산로 175,0.7,0.5,0.0,0.2,0.8,0.9,0.1,0.1,0.8,0.0
56887,반포 서래섬,12,서울특별시 서초구 신반포로11길 40 (반포동),0.8,0.8,0.0,0.0,0.0,0.7,0.7,0.6,0.2,0.5
58540,월봉서원(빙월당),12,광주광역시 광산구 광곡길 133,0.5,0.8,0.0,0.9,1.0,0.2,0.1,0.2,0.0,0.0
57584,대이작도선착장,12,인천광역시 옹진군 자월면 대이작로 4,0.4,0.2,0.1,0.2,0.1,0.6,0.2,0.1,0.7,0.0
60520,중흥사(고양),12,경기도 고양시 덕양구 대서문길 393 (북한동),0.8,0.6,0.0,0.7,0.9,0.8,0.2,0.3,0.7,0.0
56874,문래예술공장,12,서울특별시 영등포구 경인로88길 5-4,0.1,0.8,0.0,0.9,0.3,0.0,0.5,0.2,0.0,0.4
58556,증심사(광주),12,광주광역시 동구 증심사길 177,0.8,0.7,0.1,0.7,1.0,0.7,0.2,0.3,0.2,0.0
57627,문화공원,12,인천광역시 연수구 새말로 120,0.7,0.1,0.0,0.6,0.0,0.3,0.4,0.9,0.6,0.5
59231,가평향교,12,경기도 가평군 가평읍 호반로 1660-143,0.3,0.7,0.0,0.8,1.0,0.1,0.2,0.4,0.0,0.0
57451,황금내근린공원,12,서울특별시 강서구 허준로 221-40 (가양동),0.4,0.1,0.0,0.0,0.0,0.2,0.1,0.5,0.9,0.0
58568,충효동 점토광물산지 (무등산권 국가지질공원),12,광주광역시 북구 풍암제길 14,0.1,0.2,0.0,0.8,0.9,0.7,0.0,0.3,0.0,0.0
57564,난정리 해바라기마을 정원,12,인천광역시 강화군 교동면 난정리 741-3,0.8,0.9,0.0,0.0,0.0,0.8,0.8,0.6,0.1,0.0
60538,진위향교,12,경기도 평택시 진위면 진위로 49,0.4,0.6,0.0,0.8,1.0,0.5,0.0,0.2,0.0,0.0
57003,서울 몽촌토성,12,서울특별시 송파구 올림픽로 424,0.8,0.6,0.0,0.7,1.0,0.7,0.5,0.8,0.2,0.0
58549,전평제,12,광주광역시 서구 전평길 1,0.8,0.3,0.0,0.2,0.5,0.7,0.4,0.5,0.1,0.0
57562,김상용순절비,12,인천광역시 강화군 강화읍 관청리,0.1,0.1,0.0,0.8,1.0,0.0,0.0,0.2,0.0,0.0
59896,석산계곡,12,경기도 양평군 단월면 석산로,0.9,0.5,0.0,0.0,0.0,1.0,0.3,0.8,0.4,0.2
57457,후암동108계단,12,서울특별시 용산구 후암동,0.2,0.8,0.2,0.7,0.9,0.3,0.2,0.1,0.2,0.0
58552,제봉산 마법의 숲 체험원,12,광주광역시 남구 압촌동 94-5,0.8,0.6,0.0,0.7,0.0,0.9,0.2,1.0,0.5,0.0
