attr_id,title,content_type_id,healing,aesthetic,gourmet,learning,heritage,mood_nature,romantic,family,active,nightlife
56644,가회동성당,12,0.2,0.8,0.0,0.9,0.8,0.0,0.3,0.4,0.2,0.1
56645,간데메공원,12,0.8,0.7,0.0,0.2,0.2,0.6,0.3,0.9,0.4,0.1
56646,갈산근린공원,12,0.4,0.6,0.0,0.7,0.8,0.7,0.3,0.6,0.5,0.1
56647,감로암(서울),12,0.8,0.6,0.0,0.7,0.8,0.2,0.4,0.7,0.2,0.0
56648,강남,12,0.2,0.4,0.3,0.7,0.2,0.1,0.3,0.2,0.3,0.8
56649,강남 마이스 관광특구,12,0.2,0.8,0.2,0.7,0.2,0.1,0.3,0.4,0.5,0.9
56650,강동예찬시비,12,0.2,0.6,0.0,0.8,1.0,0.4,0.3,0.4,0.2,0.1
56651,강변스파랜드,12,0.8,0.7,0.3,0.2,0.0,0.4,0.3,0.8,0.4,0.2
56652,강서습지생태공원,12,0.8,0.7,0.0,0.9,0.2,1.0,0.4,0.8,0.6,0.2
56653,강서역사문화거리,12,0.2,0.7,0.0,0.8,1.0,0.1,0.4,0.3,0.4,0.7
56654,강서한강공원,12,0.7,0.6,0.0,0.7,0.2,0.9,0.4,0.8,0.7,0.2
56655,개봉유수지 생태공원,12,0.8,0.7,0.0,0.8,0.0,0.9,0.3,0.9,0.4,0.0
56656,개운사(서울),12,0.2,0.4,0.0,0.8,0.9,0.3,0.2,0.3,0.1,0.0
56657,개화산 호국공원,12,0.2,0.2,0.0,0.8,1.0,0.3,0.0,0.2,0.1,0.0
56658,거꾸로하우스,12,0.2,0.8,0.0,0.4,0.0,0.2,0.7,0.6,0.2,0.3
56659,거리공원,12,0.8,0.8,0.0,0.2,0.1,0.8,0.4,0.8,0.7,0.2
56660,거북선나루터,12,0.4,0.3,0.0,0.4,0.2,0.7,0.2,0.5,0.4,0.2
56661,건청궁,12,0.2,0.4,0.0,0.8,1.0,0.0,0.2,0.2,0.0,0.0
56662,경국사(서울),12,0.2,0.4,0.0,0.8,1.0,0.1,0.2,0.2,0.1,0.0
56663,경리단길,12,0.2,0.8,0.9,0.4,0.3,0.2,0.6,0.3,0.2,0.9
56664,경복궁,12,0.2,0.8,0.0,0.9,1.0,0.2,0.4,0.3,0.2,0.4
56665,경성 부민관 폭탄 의거지,12,0.0,0.0,0.0,0.8,0.9,0.0,0.0,0.0,0.0,0.0
56666,경운동민병옥가옥,12,0.2,0.8,0.0,0.9,1.0,0.0,0.2,0.3,0.0,0.0
56667,경의선책거리,12,0.2,0.8,0.0,0.9,0.3,0.0,0.4,0.2,0.2,0.3
56668,경찰혼,12,0.2,0.3,0.0,0.8,1.0,0.0,0.0,0.2,0.1,0.0
56669,경희궁,12,0.2,0.7,0.0,0.8,1.0,0.4,0.3,0.4,0.2,0.0
56670,경희궁 숭정전,12,0.2,0.8,0.0,0.9,1.0,0.0,0.2,0.3,0.2,0.0
56671,경희궁 흥화문,12,0.2,0.8,0.0,0.9,1.0,0.0,0.2,0.3,0.1,0.0
56672,경희궁공원,12,0.2,0.7,0.0,0.8,1.0,0.2,0.3,0.6,0.2,0.1
56673,"계남공원(유아숲체험장, 우렁바위)",12,0.9,0.7,0.0,0.8,0.2,0.9,0.3,0.9,0.7,0.2
56674,계남근린공원,12,0.9,0.7,0.0,0.2,0.0,0.8,0.3,0.9,0.6,0.1
56675,계동배렴가옥,12,0.4,0.8,0.0,0.9,1.0,0.0,0.3,0.4,0.2,0.1
56678,고척근린공원,12,0.8,0.7,0.0,0.4,0.2,0.9,0.3,0.8,0.7,0.1
56679,고척동 고인돌,12,0.2,0.3,0.0,0.8,1.0,0.2,0.1,0.4,0.3,0.0
56680,고촌홀(제약박물관),12,0.2,0.7,0.0,0.9,0.8,0.0,0.2,0.4,0.2,0.0
56681,고하송진우선생동상,12,0.1,0.4,0.0,0.8,1.0,0.0,0.0,0.1,0.0,0.0
56683,공덕동 족발골목,12,0.2,0.3,1.0,0.2,0.4,0.0,0.2,0.3,0.1,0.7
56684,관문사(서울),12,0.8,0.7,0.0,0.8,0.9,0.7,0.2,0.6,0.2,0.1
56685,관악도시농업공원,12,0.8,0.6,0.0,0.8,0.2,0.9,0.3,0.8,0.7,0.1
56686,관악산,12,0.8,0.7,0.0,0.8,0.4,1.0,0.4,0.8,0.9,0.1
56687,관악산 낙성대공원,12,0.8,0.7,0.0,0.8,0.7,0.9,0.4,0.8,0.6,0.1
56688,관악산 생태공원,12,0.8,0.7,0.0,0.9,0.2,1.0,0.4,0.9,0.7,0.1
56689,관악산 호수공원,12,0.8,0.7,0.0,0.6,0.2,0.9,0.4,0.8,0.3,0.1
56690,관악산공원 야외식물원,12,0.8,0.8,0.0,0.8,0.2,1.0,0.4,0.8,0.4,0.0
56691,관악산자연공원,12,0.9,0.7,0.0,0.8,0.2,1.0,0.4,0.8,0.6,0.1
56692,관음사(서울),12,0.2,0.4,0.0,0.8,0.9,0.3,0.2,0.3,0.1,0.0
56693,관음사국기봉,12,0.2,0.4,0.0,0.3,0.2,0.8,0.2,0.3,0.7,0.0
56694,관훈동 민씨 가옥 (구 부마도위박영효가옥),12,0.2,0.8,0.0,0.7,1.0,0.1,0.4,0.3,0.1,0.0
56695,광나루안전체험관,12,0.2,0.2,0.0,0.9,0.0,0.0,0.0,0.7,0.8,0.0
56696,광나루자전거공원,12,0.4,0.8,0.0,0.2,0.0,0.7,0.8,0.9,0.8,0.7
56697,광나루한강공원,12,0.8,0.9,0.0,0.4,0.2,1.0,0.5,0.7,0.4,0.1
56698,광나루한강공원 암사생태공원,12,0.9,0.8,0.0,0.4,0.0,1.0,0.4,0.8,0.6,0.2
56699,광진광장공원,12,0.2,0.4,0.0,0.3,0.0,0.3,0.2,0.8,0.4,0.1
56700,광진교 8번가,12,0.2,0.8,0.0,0.7,0.0,0.3,0.4,0.3,0.2,0.8
56701,광통교,12,0.2,0.7,0.0,0.8,1.0,0.2,0.3,0.4,0.2,0.1
56702,광화문,12,0.1,0.8,0.0,0.9,1.0,0.0,0.2,0.2,0.1,0.0
56703,광화문광장,12,0.0,0.8,0.0,0.7,0.9,0.4,0.2,0.3,0.2,0.3
56704,광흥당,12,0.2,0.7,0.0,0.9,1.0,0.1,0.2,0.4,0.2,0.1
56705,광희문,12,0.1,0.4,0.0,0.8,1.0,0.0,0.2,0.1,0.0,0.0
56706,구 서울대학교 본관,12,0.2,0.7,0.0,0.9,1.0,0.1,0.2,0.2,0.2,0.0
56707,구강사,12,0.7,0.4,0.0,0.8,0.6,0.3,0.2,0.5,0.2,0.1
56708,구공업전습소본관,12,0.1,0.4,0.0,0.9,1.0,0.0,0.0,0.2,0.0,0.0
56709,구로거리공원,12,0.7,0.6,0.0,0.4,0.2,0.7,0.3,0.8,0.6,0.4
56710,구로공단 노동자생활체험관,12,0.2,0.3,0.0,0.9,0.8,0.0,0.1,0.4,0.2,0.0
56712,구로기계공구단지,12,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0
56713,구로리공원,12,0.8,0.6,0.0,0.2,0.0,0.7,0.2,0.9,0.4,0.0
56714,구룡사,12,0.8,0.6,0.0,0.9,1.0,0.2,0.2,0.4,0.2,0.0
56715,구룡산(서울),12,0.2,0.4,0.0,0.7,0.6,0.8,0.2,0.3,0.7,0.0
56716,구암공원,12,0.7,0.8,0.0,0.8,0.7,0.4,0.6,0.8,0.3,0.8
56717,구암서원 터(구암정),12,0.2,0.4,0.0,0.8,1.0,0.2,0.1,0.2,0.0,0.0
56718,구의 아리수 정수센터,12,0.1,0.2,0.0,0.9,0.2,0.1,0.0,0.4,0.2,0.0
56719,국립4·19민주묘지,12,0.2,0.7,0.0,0.8,1.0,0.4,0.3,0.6,0.2,0.0
56720,국립민속박물관&국립민속박물관 어린이박물관,12,0.2,0.4,0.0,1.0,1.0,0.0,0.2,0.9,0.3,0.1
56721,국립서울현충원,12,0.1,0.2,0.0,0.8,1.0,0.2,0.1,0.3,0.2,0.0
56722,국립중앙박물관전통염료식물원,12,0.4,0.7,0.0,0.9,0.8,0.6,0.2,0.5,0.2,0.0
56723,국제선센터,12,0.4,0.6,0.2,1.0,0.8,0.3,0.2,0.7,0.4,0.3
56724,국제음식문화거리(INTERNATIONAL FOOD STREET),12,0.2,0.6,1.0,0.8,0.4,0.1,0.3,0.7,0.2,0.9
56725,국회의사당,12,0.0,0.4,0.0,0.8,0.9,0.2,0.1,0.3,0.2,0.0
56726,궁동저수지 생태공원,12,0.8,0.8,0.0,0.7,0.2,1.0,0.5,0.8,0.4,0.0
56727,그라운드서울,12,0.2,0.8,0.0,0.7,0.4,0.2,0.6,0.3,0.2,0.3
